;level_0;index;ID;Brightness;Colorfulness;Entropy;UniqueColors;Keypoints;Color1R;Color1G;Color1B;Color2R;Color2G;Color2B;Image URL;Title;Author;Sales Rank;Date;Review Score
10;10;11;545679532;0.573581;640.000.449.584.275;779.864;127208;0.03980976863753213;225;235;243;113;95;70;http://ecx.images-amazon.com/images/I/61NSmUDj8rL.jpg;Scholastic Year in Sports 2015;James Buckley Jr.;551879.0;November 25, 2014;1,475694444
11;11;12;761302166;0.7360599;6.391.313.966.354.920;61.370.234;78260;0.02305480195333695;251;250;243;237;251;246;http://ecx.images-amazon.com/images/I/51DW528SJEL.jpg;The Babylonians (The Cradle of Civilization);Elaine Landau;1640005.0;August 1, 1997;04.00
12;12;13;787703907;0.5266135000000001;5.099.947.221.693.120;7.504.981;110377;0.0570498687664042;86;115;99;121;93;70;http://ecx.images-amazon.com/images/I/61dALSr0TVL.jpg;The Middle Ages, Grades 7-12 (History of civilization);Tim McNeese;2297404.0;September 1, 1999;00.00
13;13;14;1629794260;0.67645884;11.515.882.185.828.100;6.694.252.499.999.990;68314;0.028364705882352938;251;249;240;9;88;167;http://ecx.images-amazon.com/images/I/61fewSjuwBL.jpg;Animal Crackups: 1,001 Beastly Riddles, Jokes, and Tongue Twisters from Highlights (Laugh Attack!);Highlights for Children;557840.0;September 1, 2015;05.00
14;14;15;615923496;0.6657516;7.095.158.858.022.440;68.325.396;117655;0.031408;195;162;98;244;240;232;http://ecx.images-amazon.com/images/I/61Csw5mVRaL.jpg;Buster's St. Patrick's Day;Debbe Hardymon May;4575950.0;December 20, 2013;05.00
15;15;17;763665215;0.54496086;11.430.042.469.723.400;63.641.442.999.999.900;56119;0.014774193548387098;242;202;51;3;105;172;http://ecx.images-amazon.com/images/I/51OPI26czfL.jpg;There Will Be Bears;Ryan Gebhart;1303447.0;April 22, 2014;04.48
16;16;18;1856976777;0.7293708000000001;5.955.700.808.616.010;7.212.733;81933;0.01976687116564417;244;242;191;183;162;122;http://ecx.images-amazon.com/images/I/51hicb8sMZL.jpg;A Treasury of Stories from the Brothers Grimm;Jenny Koralek;10541471.0;April 15, 1996;00.00
17;17;20;192781871;0.7007507;58.753.049.398.163.900;6.872.396.000.000.000;70594;0.016650537634408602;239;233;212;204;152;108;http://ecx.images-amazon.com/images/I/51eLkAQ8ieL.jpg;My First Oxford Book of Stories;Geraldine McCaughrean;3483088.0;August 23, 2001;05.00
18;18;21;1580376320;0.49211645;5.128.051.608.282.140;7.382.636;67266;0.024358056265984654;112;85;62;237;222;172;http://ecx.images-amazon.com/images/I/51RdCc8r5dL.jpg;Renaissance, Grades 5 - 8 (World History);Patrick Hotle Ph.D.;897686.0;January 3, 2012;04.39
19;19;22;1416941215;0.6826638;10.051.381.557.680.800;7.175.258.599.999.990;94774;0.02264168618266979;245;234;206;154;74;18;http://ecx.images-amazon.com/images/I/61etD-YUCDL.jpg;Mommy Hugs (Classic Board Books);Karen Katz;32773.0;March 27, 2007;04.49
20;20;23;1930900708;0.6671516;7.146.206.866.822.780;6.607.189.999.999.990;60353;0.033531172069825435;245;161;191;225;130;152;http://ecx.images-amazon.com/images/I/51pWC85-LvL.jpg;Cranberry Valentine (Cranberryport);Wende Devlin;220492.0;January 1, 2014;0.225694444444444
21;21;24;1892951452;0.6579648;3.795.381.924.509.120;6.643.468.400.000.000;53264;0.031547568710359415;251;250;250;230;230;235;http://ecx.images-amazon.com/images/I/61emxpipV0L.jpg;DUDE Diary (Coke Or Pepsi? Universe);Mickey & Cheryl Gill;37301.0;November 15, 2009;04.41
22;22;25;974690112;0.71603346;5.156.277.208.835.620;6.334.278;38105;0.015226666666666666;115;166;207;212;230;245;http://ecx.images-amazon.com/images/I/51pvtqn5rML.jpg;Lolek - The Boy Who Became Pope John Paul II;Mary Hramiec Hoffman;363956.0;December 1, 2008;05.00
23;23;27;1448899710;0.6840904999999999;653.622.705.152.368;7.439.944.000.000.000;86588;0.019136752136752137;241;228;206;197;159;131;http://ecx.images-amazon.com/images/I/51i0b2e143L.jpg;St. Patrick's Day / Dia de san patricio (Powerkids Readers: Happy Holidays! / !Felices Fiestas!);Josie Keogh;5336694.0;January 15, 2013;00.00
24;24;28;1484731301;0.50082695;8.912.263.745.762.090;7.579.225.999.999.990;106649;0.031861861861861865;166;26;49;248;242;229;http://ecx.images-amazon.com/images/I/51bBMSqtxrL.jpg;World of Reading: Ant-Man Game Over: Level 2;Nancy R. Lambert;435184.0;October 20, 2015;04.51
25;25;29;736879005;0.49269497;6.071.244.306.907.550;78.608.704;103156;0.04252442159383033;240;228;215;76;19;9;http://ecx.images-amazon.com/images/I/61l50vgKsZL.jpg;George Eastman and the Kodak Camera (Inventions and Discovery);Jennifer Fandel;1584441.0;January 1, 2007;04.03
26;26;30;1429633808;0.5307411;8.522.648.646.202.310;77.391.844;125229;0.03626277372262774;160;80;36;238;223;198;http://ecx.images-amazon.com/images/I/61OOdRQUN0L.jpg;Homes in Many Cultures (Life Around the World);Heather Adamson;1198832.0;August 1, 2009;04.49
27;27;32;1595722718;0.46049032;13.874.362.777.267.200;29.814.992;21652;0.00336;238;55;43;254;254;254;http://ecx.images-amazon.com/images/I/41bbDe3J6sL.jpg;Hip, Hop (Portuguese Edition);Catherine Hnatov;784695.0;September 15, 2010;04.31
28;28;33;888996667;0.5843398;5.790.544.697.840.480;73.098.617;98834;0.022322188449848027;197;157;113;134;95;69;http://ecx.images-amazon.com/images/I/51FMN5QSPCL.jpg;The Girl from Chimel;Rigoberta MenchÌÄå¼;1411096.0;August 9, 2005;04.00
29;29;34;60002204;0.20769122;44.400.949.805.584.700;63.781.824;62716;0.028852071005917163;12;9;4;7;14;29;http://ecx.images-amazon.com/images/I/5157DYfo%2BNL.jpg;Capt. Hook: The Adventures of a Notorious Youth;J. V. Hart;1660446.0;August 23, 2005;04.19
30;30;36;736849688;0.37704194;4.605.841.866.437.870;7.437.875;81521;0.03975;46;39;22;70;78;101;http://ecx.images-amazon.com/images/I/611PFW80GCL.jpg;Nathan Hale: Revolutionary Spy (Graphic Biographies);Nathan Olson;3450129.0;September 1, 2005;04.58
31;31;37;689713436;0.5744642;8.506.731.467.230.000;684.012;101741;0.03563636363636364;252;248;244;126;75;50;http://ecx.images-amazon.com/images/I/61Yl5mq-foL.jpg;Once a Mouse...;Marcia Brown;329608.0;September 30, 1989;04.58
32;32;38;374301301;0.60199195;7.754.272.600.689.240;7.737.157.300.000.000;112604;0.04824624624624625;243;231;172;129;87;66;http://ecx.images-amazon.com/images/I/61In0-WXxML.jpg;A Whole New Ballgame (Rip and Red);Phil Bildner;136359.0;August 18, 2015;04.53
33;33;39;316044849;0.5266219;5.762.283.566.799.280;77.571.397;97758;0.03142011834319527;114;97;67;174;165;131;http://ecx.images-amazon.com/images/I/51QsFRjnCPL.jpg;World Cup (Matt Christopher Legendary Sports Events);Matt Christopher;1155378.0;June 1, 2010;04.03
34;34;40;316406899;0.43329048;7.383.768.786.971.700;75.677.332.999.999.900;125420;0.042209302325581385;28;87;149;239;208;108;http://ecx.images-amazon.com/images/I/61Mz6Z4aRaL.jpg;The Land of Stories: Beyond the Kingdoms;Chris Colfer;44568.0;July 7, 2015;0.227777777777778
35;35;41;1587170000;0.48203630000000003;55.598.652.601.655.000;7.552.227.499.999.990;84922;0.03528191489361702;132;78;52;230;222;179;http://ecx.images-amazon.com/images/I/51rkFO-aMcL.jpg;Aesop's Fables;Jerry Pinkney;102966.0;September 1, 2000;04.42
36;36;43;1477817239;0.3796663;4.826.413.870.025.230;75.572.157;87129;0.02413627254509018;20;25;62;146;155;182;http://ecx.images-amazon.com/images/I/61Ve2xp8l2L.jpg;Halloween Hustle;Charlotte Gunnufson;279868.0;September 3, 2013;0.219444444444444
37;37;44;694016381;0.5911732;1.122.780.527.425.790;6.110.309;88788;0.01475268817204301;254;254;253;13;106;172;http://ecx.images-amazon.com/images/I/61UXIu1BGvL.jpg;A Baby's Gift;Margaret Wise Brown;3427.00.00;September 23, 2014;0.223611111111111
38;38;45;823414299;0.8543059999999999;6.343.518.276.958.640;59.591.026;48075;0.014322334333242431;242;248;244;243;246;224;http://ecx.images-amazon.com/images/I/51TWGNGJWEL.jpg;A Picture Book of George Washington Carver (Picture Book Biographies);David A. Adler;588900.0;January 1, 1999;04.39
39;39;46;1882658361;0.7037503;6.129.261.770.922.050;7.240.442;104149;0.038928;246;239;221;124;88;64;http://ecx.images-amazon.com/images/I/61ZJq84pn6L.jpg;Spaghetti & Meatballs: Growing Up Italian (Mom's Choice Award Recipient);Diana Pishner Walker;654474.0;August 3, 2015;05.00
40;40;47;152019820;0.6239766;392.227.777.838.975;6.833.379.300.000.000;85130;0.029982182628062362;184;213;246;120;101;78;http://ecx.images-amazon.com/images/I/51w3CGqO-EL.jpg;Between Heaven and Earth: Bird Tales from Around the World;Howard Norman;976610.0;October 1, 2004;04.05
41;41;48;015204700X;0.5156654;26.004.540.381.526.400;75.819.345;54482;0.04037662337662338;103;88;83;208;217;230;http://ecx.images-amazon.com/images/I/61GJFxKoQlL.jpg;Mammoths on the Move;Lisa Wheeler;439142.0;April 1, 2006;0.220833333333333
42;42;49;151482034X;0.71708;8.675.110.549.943.500;5.975.477;48673;0.028720720720720717;107;207;245;251;250;249;http://ecx.images-amazon.com/images/I/51ioUZptdmL.jpg;Go West, Little Rippers! (The Little Rippers) (Volume 2);Rebecca Munsterer;179879.0;July 3, 2015;05.00
43;43;50;792259335;0.25878868;42.363.801.323.025.300;65.719.843;31712;0.010526558891454964;71;25;2;133;76;36;http://ecx.images-amazon.com/images/I/510CH46SX0L.jpg;Bull's-Eye: A Photobiography of Annie Oakley (Photobiographies);Sue Macy;1944037.0;June 15, 2004;0.223611111111111
44;44;51;141971189X;0.6011718;12.630.863.876.780.800;7.243.461;50566;0.0256891495601173;243;137;35;243;238;231;http://ecx.images-amazon.com/images/I/510%2BtbZHhfL.jpg;Diary of a Wimpy Kid: The Long Haul;Jeff Kinney;783.00.00;November 4, 2014;0.217361111111111
45;45;52;006057383X;0.6382228;9.659.397.880.829.990;7.527.003.999.999.990;114207;0.030112;242;136;83;214;216;223;http://ecx.images-amazon.com/images/I/61K2GhnwXBL.jpg;The Berenstain Bears Go on a Ghost Walk;Stan Berenstain;119038.0;September 6, 2005;0.214583333333333
46;46;53;1590179366;0.65126634;11.306.383.381.017.900;7.281.094.599.999.990;81638;0.035117977528089886;245;234;90;246;244;185;http://ecx.images-amazon.com/images/I/61PIA4M57iL.jpg;The Pushcart War (New York Review Children's Collection);Jean Merrill;70367.0;September 29, 2015;04.57
47;47;54;778783049;0.40495887;6.748.830.212.508.130;7.576.008;86577;0.045192893401015226;121;94;59;39;27;13;http://ecx.images-amazon.com/images/I/615EUox5vdL.jpg;Fantasticos Vehiculos Para La Construccion (Vehiculos En Accion / Vehicles on the Move) (Spanish Edition);Kelley Macaulay;4896654.0;October 1, 2007;00.00
48;48;55;1434227987;0.64121544;7.659.240.085.042.330;71.332.645;80338;0.028761904761904763;213;232;241;163;70;44;http://ecx.images-amazon.com/images/I/51UlcEp48aL.jpg;Buzz Beaker and the Speed Secret (Buzz Beaker Books);Cari Meister;552069.0;August 1, 2010;00.00
49;49;56;1465417338;0.7356784000000001;12.542.905.430.449.200;55.589.322.999.999.900;57267;0.011020725388601035;253;250;245;233;101;8;http://ecx.images-amazon.com/images/I/51qz7R%2BVh7L.jpg;DK Workbooks: Math, First Grade;DK Publishing;87088.0;January 6, 2014;04.28
50;50;57;1423171608;0.5850411;8.392.825.380.503.540;7.358.185.300.000.000;114918;0.014471774193548387;59;173;91;95;188;223;http://ecx.images-amazon.com/images/I/51o6GhLmemL.jpg;Mickey Mouse Clubhouse: Top o' the Clubhouse: Includes Stickers!;Disney Book Group;1058338.0;January 15, 2013;04.51
51;51;58;761461671;0.5062892;6.362.797.476.826.190;6.868.483.500.000.000;76673;0,179861111;56;111;168;247;243;230;http://ecx.images-amazon.com/images/I/61thVx-va9L.jpg;Columbus;Demi;1641256.0;September 18, 2012;04.27
52;52;59;803736800;0.8093236;6.642.994.420.409.540;68.187.869.999.999.900;75286;0.049188;245;241;237;215;149;110;http://ecx.images-amazon.com/images/I/61P9zL-N6SL.jpg;Dragons Love Tacos;Adam Rubin;42.00.00;June 14, 2012;04.41
53;53;60;1600601316;0.41396597;47.711.508.334.381.500;7.727.810.000.000.000;77504;0.01466831683168317;25;14;9;209;230;244;http://ecx.images-amazon.com/images/I/51dC6ie5UHL.jpg;Vanishing Cultures: Sahara;Jan Reynolds;1149354.0;May 1, 2007;05.00
54;54;61;892391316;0.34510726;6.723.515.130.808.600;7.430.839.999.999.990;91929;0.03837946428571429;106;160;238;27;56;44;http://ecx.images-amazon.com/images/I/61EPuYcf-FL.jpg;Los Pajaros de La Cosecha / The Harvest Birds;Blanca Mariscal de Lopez;3498868.0;April 1, 1995;05.00
55;55;62;545279712;0.60444;38.061.179.890.143.500;74.107.065;71248;0.03907602339181287;136;176;157;65;104;117;http://ecx.images-amazon.com/images/I/51WoOckbT2L.jpg;Wolves of the Beyond #5: Spirit Wolf;Kathryn Lasky;36521.0;April 30, 2013;0,15625
56;56;63;448405202;0.5007142;7.397.441.592.058.660;69.362.984;122097;0.022187633262260132;176;136;52;194;146;88;http://ecx.images-amazon.com/images/I/61pXn1FwJ9L.jpg;The Little Engine That Could (Original Classic Edition);Watty Piper;2010.00.00;July 31, 2001;04.34
57;57;64;1905516657;0.71809024;5.080.049.566.111.690;59.645.166;87891;0.017144;253;252;248;198;162;122;http://ecx.images-amazon.com/images/I/51kXXUPlMYL.jpg;Companion Collection;Zaheer Khatri;3355665.0;January 27, 2015;05.00
58;58;65;778742601;0.5014940999999999;907.295.534.930.073;7.519.549.400.000.000;101926;0.025041450777202073;129;88;66;194;152;116;http://ecx.images-amazon.com/images/I/51oKqIjkHmL.jpg;What Are Goods and Services? (Economics in Action);Carolyn Andrews;215127.0;September 1, 2008;03.05
59;59;66;152002227;0.7250643;5.150.496.913.063.170;7.132.972.200.000.000;58848;0.020202970297029704;251;216;185;193;148;125;http://ecx.images-amazon.com/images/I/51Wr07jk8rL.jpg;Meet the Orchestra;Ann Hayes;94278.0;March 27, 1995;04.18
60;60;68;545795559;0.45876990000000006;465.429.567.780.896;71.106.515;68837;0.037895043731778426;67;40;56;98;46;76;http://ecx.images-amazon.com/images/I/61sq-w9JI1L.jpg;The Notebook of Doom #8: Charge of the Lightning Bugs (A Branches Book);Troy Cummings;15106.0;June 30, 2015;0.232638888888889
